1	Vinnytsya
2	Volyn
3	Dnipropetrovs'k
4	Donets'k
5	Zhytomyr
6	Transcarpathia
7	Zaporizhzhya
8	Ivano-Frankivs'k
9	Kiev
10	Kirovohrad
11	Luhans'k
12	L'viv
13	Mykolayiv
14	Odessa
15	Poltava
16	Rivne
17	Sumy
18	Ternopil'
19	Kharkiv
20	Kherson
21	Khmel'nyts'kyy
22	Cherkasy
23	Chernivtsi
24	Chernihiv
25	Crimea
26	Kiev
27	Sevastopol'
